"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"21/07/2021";"0000";"24,2";"96,0";"";"0,0";"0,0";"8,8";"4,00";"30,9";"";""
"21/07/2021";"1200";"23,8";"97,0";"";"1,0";"180,0";"7,5";"";"";"";"6,0"
"21/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"22/07/2021";"0000";"26,5";"90,0";"";"0,0";"0,0";"3,8";"6,60";"32,2";"";""
"22/07/2021";"1200";"24,0";"98,0";"";"1,0";"50,0";"8,8";"";"";"";"0,0"
"22/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"23/07/2021";"0000";"27,1";"94,0";"";"0,0";"0,0";"7,5";"4,30";"33,3";"";""
"23/07/2021";"1200";"23,6";"98,0";"";"1,0";"360,0";"8,8";"";"";"";"19,8"
"23/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"24/07/2021";"0000";"25,7";"95,0";"";"1,0";"180,0";"10,0";"4,00";"31,9";"";""
"24/07/2021";"1200";"24,0";"98,0";"";"0,0";"0,0";"10,0";"";"";"";"0,8"
"24/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"25/07/2021";"0000";"27,1";"89,0";"";"1,0";"180,0";"7,5";"";"";"";""
"25/07/2021";"1200";"";"";"";"";"";"";"";"";"";""
"25/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"26/07/2021";"0000";"";"";"";"";"";"";"4,70";"33,3";"";""
"26/07/2021";"1200";"22,8";"99,0";"";"0,0";"0,0";"8,8";"";"";"";"19,8"
"26/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"27/07/2021";"0000";"23,8";"95,0";"";"1,0";"360,0";"10,0";"3,80";"30,7";"";""
"27/07/2021";"1200";"23,0";"98,0";"";"0,0";"0,0";"11,3";"";"";"";"18,9"
"27/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"28/07/2021";"0000";"25,3";"92,0";"";"1,0";"50,0";"8,8";"2,50";"30,3";"";""
"28/07/2021";"1200";"22,4";"98,0";"";"1,0";"360,0";"8,8";"";"";"";"18,4"
"28/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"29/07/2021";"0000";"25,9";"94,0";"";"0,0";"0,0";"0,0";"6,20";"34,3";"";""
"29/07/2021";"1200";"23,4";"98,0";"";"1,0";"360,0";"8,8";"";"";"";"0,0"
"29/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"30/07/2021";"0000";"24,8";"96,0";"";"0,0";"0,0";"10,0";"0,00";"25,3";"";""
"30/07/2021";"1200";"22,4";"93,0";"";"2,1";"180,0";"10,0";"";"";"";"1,2"
"30/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"31/07/2021";"0000";"22,4";"88,0";"";"1,0";"180,0";"10,0";"1,40";"27,7";"";""
"31/07/2021";"1200";"19,9";"98,0";"";"1,0";"360,0";"8,8";"";"";"";"0,6"
"31/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"01/08/2021";"0000";"24,4";"88,0";"";"0,0";"0,0";"10,0";"";"";"";""
"01/08/2021";"1200";"";"";"";"";"";"";"";"";"";""
"01/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/08/2021";"0000";"";"";"";"";"";"";"5,00";"31,9";"";""
"02/08/2021";"1200";"21,2";"98,0";"";"0,0";"0,0";"8,8";"";"";"";"0,0"
"02/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/08/2021";"0000";"24,0";"91,0";"";"2,1";"90,0";"10,0";"1,10";"28,7";"";""
"03/08/2021";"1200";"22,2";"98,0";"";"0,0";"0,0";"8,8";"";"";"";"19,6"
"03/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/08/2021";"0000";"24,6";"92,0";"";"0,0";"0,0";"0,0";"1,90";"29,7";"";""
"04/08/2021";"1200";"22,2";"98,0";"";"0,0";"0,0";"8,8";"";"";"";"13,6"
"04/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/08/2021";"0000";"25,7";"92,0";"";"1,0";"50,0";"10,0";"0,90";"29,1";"";""
"05/08/2021";"1200";"22,6";"98,0";"";"1,0";"360,0";"10,0";"";"";"";"13,8"
"05/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/08/2021";"0000";"24,0";"95,0";"";"0,0";"0,0";"0,0";"5,70";"32,1";"";""
"06/08/2021";"1200";"22,8";"99,0";"";"1,0";"50,0";"0,0";"";"";"";"0,0"
"06/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/08/2021";"0000";"25,9";"90,0";"";"0,0";"0,0";"0,0";"4,60";"33,9";"";""
"07/08/2021";"1200";"23,2";"96,0";"";"0,0";"0,0";"8,8";"";"";"";"0,0"
"07/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/08/2021";"0000";"27,3";"86,0";"";"0,0";"0,0";"5,0";"";"";"";""
"08/08/2021";"1200";"";"";"";"";"";"";"";"";"";""
"08/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/08/2021";"0000";"";"";"";"";"";"";"9,30";"34,7";"";""
"09/08/2021";"1200";"22,6";"98,0";"";"1,0";"50,0";"0,0";"";"";"";"5,4"
"09/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"10/08/2021";"0000";"27,3";"85,0";"";"2,1";"90,0";"10,0";"7,90";"34,3";"";""
"10/08/2021";"1200";"22,4";"96,0";"";"1,0";"90,0";"5,0";"";"";"";"0,0"
"10/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/08/2021";"0000";"27,9";"81,0";"";"0,0";"0,0";"0,0";"5,60";"33,9";"";""
"11/08/2021";"1200";"24,0";"95,0";"";"1,0";"50,0";"7,5";"";"";"";"0,0"
"11/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/08/2021";"0000";"26,7";"91,0";"";"0,0";"0,0";"10,0";"2,80";"31,3";"";""
"12/08/2021";"1200";"23,2";"98,0";"";"1,0";"360,0";"10,0";"";"";"";"37,4"
"12/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"13/08/2021";"0000";"26,9";"90,0";"";"1,0";"360,0";"8,8";"2,90";"32,1";"";""
"13/08/2021";"1200";"23,6";"98,0";"";"0,0";"0,0";"8,8";"";"";"";"0,0"
"13/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"14/08/2021";"0000";"24,0";"97,0";"";"1,0";"50,0";"10,0";"2,70";"30,5";"";""
"14/08/2021";"1200";"22,6";"98,0";"";"1,0";"360,0";"10,0";"";"";"";"26,4"
"14/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"15/08/2021";"0000";"25,7";"89,0";"";"0,0";"0,0";"0,0";"";"";"";""
"15/08/2021";"1200";"";"";"";"";"";"";"";"";"";""
"15/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"16/08/2021";"0000";"";"";"";"";"";"";"5,20";"33,1";"";""
"16/08/2021";"1200";"23,0";"98,0";"";"0,0";"0,0";"7,5";"";"";"";"0,0"
"16/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"17/08/2021";"0000";"27,1";"89,0";"";"1,0";"360,0";"6,3";"6,50";"33,3";"";""
"17/08/2021";"1200";"24,2";"98,0";"";"1,0";"50,0";"8,8";"";"";"";"0,0"
"17/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"18/08/2021";"0000";"27,9";"87,0";"";"0,0";"0,0";"5,0";"0,00";"28,1";"";""
"18/08/2021";"1200";"23,6";"98,0";"";"1,0";"180,0";"8,8";"";"";"";"19,0"
"18/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"19/08/2021";"0000";"23,6";"97,0";"";"1,0";"360,0";"7,5";"5,30";"32,7";"";""
"19/08/2021";"1200";"23,0";"98,0";"";"1,0";"50,0";"8,8";"";"";"";"21,8"
"19/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"20/08/2021";"0000";"25,7";"92,0";"";"0,0";"0,0";"7,5";"7,70";"34,1";"";""
"20/08/2021";"1200";"23,9";"94,0";"";"1,0";"50,0";"8,8";"";"";"";"0,6"
"20/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"21/08/2021";"0000";"27,5";"83,0";"";"0,0";"0,0";"10,0";"9,20";"35,5";"";""
"21/08/2021";"1200";"23,2";"98,0";"";"0,0";"0,0";"3,8";"";"";"";"0,0"
"21/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"22/08/2021";"0000";"27,7";"85,0";"";"1,0";"50,0";"7,5";"";"";"";""
"22/08/2021";"1200";"";"";"";"";"";"";"";"";"";""
"22/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"23/08/2021";"0000";"";"";"";"";"";"";"2,90";"30,7";"";""
"23/08/2021";"1200";"23,4";"98,0";"";"2,1";"50,0";"10,0";"";"";"";"3,0"
"23/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"24/08/2021";"0000";"26,5";"91,0";"";"1,0";"50,0";"6,3";"6,10";"33,9";"";""
"24/08/2021";"1200";"23,6";"98,0";"";"1,0";"50,0";"11,3";"";"";"";"1,2"
"24/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"25/08/2021";"0000";"27,5";"91,0";"";"0,0";"0,0";"0,0";"7,20";"35,7";"";""
"25/08/2021";"1200";"24,2";"96,0";"";"1,0";"180,0";"7,5";"";"";"";"0,0"
"25/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"26/08/2021";"0000";"26,9";"87,0";"";"1,0";"360,0";"8,8";"7,70";"36,5";"";""
"26/08/2021";"1200";"23,4";"96,0";"";"0,0";"0,0";"7,5";"";"";"";"0,0"
"26/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"27/08/2021";"0000";"29,9";"81,0";"";"0,0";"0,0";"6,3";"0,60";"30,3";"";""
"27/08/2021";"1200";"23,4";"96,0";"";"1,0";"360,0";"10,0";"";"";"";"18,4"
"27/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"28/08/2021";"0000";"23,4";"96,0";"";"1,0";"360,0";"10,0";"9,30";"33,7";"";""
"28/08/2021";"1200";"22,4";"98,0";"";"1,0";"360,0";"7,5";"";"";"";"9,4"
"28/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"29/08/2021";"0000";"26,9";"86,0";"";"1,0";"180,0";"7,5";"";"";"";""
"29/08/2021";"1200";"";"";"";"";"";"";"";"";"";""
"29/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"30/08/2021";"0000";"";"";"";"";"";"";"5,70";"32,7";"";""
"30/08/2021";"1200";"22,6";"98,0";"";"1,0";"360,0";"10,0";"";"";"";"55,2"
"30/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"31/08/2021";"0000";"26,9";"88,0";"";"1,0";"50,0";"0,0";"1,00";"29,7";"";""
"31/08/2021";"1200";"23,8";"99,0";"";"0,0";"0,0";"10,0";"";"";"";"39,2"
"31/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"01/09/2021";"0000";"24,4";"95,0";"";"1,0";"180,0";"10,0";"4,40";"32,5";"";""
"01/09/2021";"1200";"23,0";"98,0";"";"1,0";"50,0";"10,0";"";"";"";"7,8"
